Alumno/a;Nombre elegido (Alias);N_ id. Alumno;DNI/Pasaporte;N_ del expediente del centro;Curso;Unidad;Estado Matr_cula;A_o de la matr_cula;Fecha de matr_cula;N_ de matr_culas en este curso;Observaciones de la matr_cula;Sexo;Direcci_n;C_digo postal;Localidad de residencia;Provincia de residencia;Localidad de nacimiento;Provincia nacimiento;Pa_s de nacimiento;Fecha de nacimiento;Edad a 31/12 del a_o de matr_cula;Nacionalidad;Tel_fono;Tel_fono de urgencia;Correo Electr_nico;Primer apellido;Segundo apellido;Nombre;DNI/Pasaporte Primer tutor;Primer apellido Primer tutor;Segundo apellido Primer tutor;Nombre Primer tutor;Sexo Primer tutor;Tel_fono Primer tutor;Correo Primer tutor;DNI/Pasaporte Segundo tutor;Primer apellido Segundo tutor;Segundo apellido Segundo tutor;Nombre Segundo tutor;Sexo Segundo tutor;Tel_fono Segundo tutor;Correo Segundo tutor;NP;NSS
Goyo Villaverde Vaquero;Goyo;87169874;03535939B;743894;Primero;B;En trámite;2024;24/9/24;1;Expedita dolorem quas harum similique.;M;Rambla de Georgina Ugarte 80, Baleares, 23735;01921;Albacete;Sevilla;La Rioja;Guipúzcoa;Turquía;10/10/09;38;Botswana;+34 887 08 17 34;+34974 87 50 93;lupita23@example.net;Villaverde;Vaquero;Goyo;267-98-9811;Mur;Molina;Cristian;Mujer;+34 847 56 91 11;jose-carlosatienza@example.net;782-45-8541;Narváez;Torrents;Maxi;Hombre;+34 825966950;chusasenjo@example.net;49;123456789
Gabino Canals Carrillo;Gabino;715392;27343249K;570045;Tercero;A;En trámite;2024;30/7/24;2;Odio quo perferendis voluptate.;F;Paseo Leyre Criado 451 Apt. 83 , Granada, 33954;01042;Salamanca;Cantabria;Sevilla;Cáceres;Senegal;11/1/93;33;Suriname;+34 874 845 119;+34982 43 30 63;santon@example.org;Canals;Carrillo;Gabino;983-46-4116;Sastre;Estrada;Alonso;Mujer;+34 806 148 956;rsantamaria@example.net;102-14-8850;Sáez;Montoya;José Luis;Mujer;+34 843 39 86 09;elviraroldan@example.com;1;123456789
Pastora Solera Gallego;Pastora;55358709;77731956Y;20652;Segundo;A;En trámite;2024;4/7/24;2;Odit debitis neque qui.;F;Alameda Amando Domingo 788, La Coruña, 09547;36737;Lleida;Ourense;Zamora;Segovia;Uruguay;24/10/94;83;Iraq;+34 921550550;+34651 21 31 20;oliveguadalupe@example.com;Solera;Gallego;Pastora;692-51-8302;Feliu;Lobo;Lupe;Mujer;+34 827915613;mayobalduino@example.org;312-71-6977;Toro;Escolano;Jacobo;Hombre;+34982 407 277;leoncioaguado@example.net;51;123456789
Martina Pinedo Mata;Martina;85078778;78025083K;872659;Cuarto;A;No matriculado;2024;17/2/24;2;Eligendi illum eligendi cupiditate.;M;Via de Eric Silva 9 Piso 0 , La Coruña, 37756;23173;Melilla;Huelva;Valencia;Valladolid;Indonesia;16/11/06;7;Santa Lucía;34888168136;+34917 270 155;yasensio@example.com;Pinedo;Mata;Martina;460-14-6013;Saavedra;Téllez;Nazaret;Hombre;+34981 860 278;fernanda72@example.net;467-22-4820;Arias;Berenguer;Bruno;Hombre;+34826 71 59 22;tatiana23@example.com;6;123456789
Fanny Sandoval Ríos;Fanny;16231210;55841113B;232631;Segundo;E;Solicitado;2024;31/1/24;3;Modi eligendi ratione adipisci.;F;Calle Nerea Aguado 2 Apt. 48 , Ceuta, 37931;29227;Lugo;Madrid;Huelva;Cáceres;India;27/8/94;7;Honduras;34823672720;34842854815;aureliaalbero@example.org;Sandoval;Ríos;Fanny;585-75-6463;Amigó;Barral;Prudencio;Hombre;+34987 693 680;pgonzalez@example.com;389-27-0531;Marcos;Álvaro;Hortensia;Hombre;+34 848667693;teofilotovar@example.net;95;123456789
Wilfredo Martin Echevarría;Wilfredo;63735169;02650590R;693138;Tercero;D;No matriculado;2024;30/9/24;1;Velit iusto sint aperiam ipsam qui.;U;Pasaje Amado España 5 Puerta 5 , Ávila, 03105;46999;Lugo;Baleares;Segovia;Valencia;Sudáfrica;24/5/74;26;Angola;+34923 72 12 57;+34851 82 58 83;catalanoe@example.com;Martin;Echevarría;Wilfredo;639-80-2067;Guitart;Solís;Paulino;Hombre;+34925 95 47 56;severo33@example.net;165-22-4540;Morales;Barceló;Íñigo;Hombre;34823008707;urocamora@example.com;78;123456789
Rosenda Roura Cerezo;Rosenda;80377232;36381737S;426756;Segundo;D;En trámite;2024;17/2/24;2;Natus corrupti inventore ipsum nemo amet est.;M;Via Salomé Galan 49 Puerta 2 , Lugo, 40836;39064;Alicante;Almería;Melilla;La Rioja;Libia;23/1/72;76;San Vicente y las Granadinas;+34 846 48 26 97;+34 825 41 00 37;barco@example.org;Roura;Cerezo;Rosenda;029-66-1406;Valbuena;Pozuelo;Valentina;Mujer;+34977 50 49 48;mauricio52@example.com;009-99-2408;Moreno;Villalonga;Carolina;Hombre;+34 885289085;silvestrealcazar@example.org;69;123456789
Cloe Sans Teruel;Cloe;79256507;86065720L;882722;Segundo;C;Solicitado;2024;17/9/24;3;Voluptatem possimus modi.;M;Vial Samuel Quero 47, Huesca, 38390;43600;Ciudad;Vizcaya;Málaga;Soria;Côte d'Ivoire;26/6/97;39;Ucrania;+34979 428 938;+34 988 814 096;panfilo70@example.org;Sans;Teruel;Cloe;453-06-0584;Ruano;Ortuño;Encarnacion;Mujer;+34900 525 856;pablo51@example.com;986-17-5988;Rosselló;Valera;Ana;Mujer;+34 976 09 90 22;genovevamur@example.net;32;123456789
Jordán Azcona Solé;Jordán;86949657;81042715F;663352;Tercero;B;En trámite;2024;28/2/24;3;Neque laborum inventore ratione maiores.;F;Cañada de Silvia Real 72, Girona, 50213;16487;Álava;Alicante;Teruel;Asturias;Omán;10/11/20;57;Dominicana;+34 807 18 16 96;+34 901691366;qrozas@example.com;Azcona;Solé;Jordán;560-53-3336;Salcedo;Ferrero;Josué;Mujer;+34700 89 97 71;cfabregas@example.com;687-43-0945;Paniagua;Cañizares;Ximena;Mujer;+34828 201 182;turrosalia@example.net;35;123456789
Apolinar Goñi Moraleda;Apolinar;95984854;86404113J;663621;Cuarto;B;Denegado;2024;17/9/24;2;Quia illo maxime veritatis possimus.;M;Urbanización de Íñigo Sales 597 Piso 3 , Zaragoza, 16545;03159;Cáceres;Ourense;Lleida;Álava;Islas Marshall;9/1/77;33;Perú;+34931 487 568;+34 845701519;arturo13@example.org;Goñi;Moraleda;Apolinar;669-15-3491;Guijarro;Chaparro;Leocadia;Hombre;+34 978 174 387;leyresegui@example.com;030-78-8792;Sancho;Alsina;Hilario;Mujer;+34 872 56 98 82;nereida66@example.net;55;123456789
Erasmo Baró Carrera;Erasmo;25909582;09081629X;869337;Quinto;D;En trámite;2024;25/1/24;3;Porro dolorem fuga. Quod cum dolore.;M;Vial Lupe Valencia 27 Apt. 09 , Albacete, 42371;22946;Baleares;Cuenca;Barcelona;Zamora;Gambia;11/7/02;15;Trinidad y Tabago;+34 914 821 608;+34842 031 477;fabiola80@example.org;Baró;Carrera;Erasmo;840-12-3790;Sedano;Palomo;Candelario;Hombre;+34730 160 989;anastasiomanzano@example.com;663-19-3497;Guerrero;Bermudez;Maristela;Hombre;+34 730473495;amordionisia@example.net;65;123456789
Lorenza Piña Carrera;Lorenza;3892549;72154022D;614381;Quinto;C;Solicitado;2024;9/8/24;3;In ea in earum.;U;Glorieta Geraldo Maestre 60 Apt. 75 , La Coruña, 06174;17756;Teruel;Valladolid;Huelva;Valladolid;Azerbaiyán;10/3/17;5;Croacia;+34 803 074 755;+34 949102985;carlitocerro@example.net;Piña;Carrera;Lorenza;183-33-0940;Rosales;Ramis;Eli;Mujer;+34901 929 951;porteroema@example.org;801-04-0765;Frutos;Zabaleta;Marisa;Mujer;+34 881 781 179;yustemacario@example.com;41;123456789
Teobaldo Gárate Baró;Teobaldo;3721462;89157108T;33734;Quinto;B;Denegado;2024;16/3/24;1;Ipsa mollitia eius eaque.;U;Ronda de Nydia Hurtado 72, Salamanca, 03539;25615;Ciudad;Sevilla;Teruel;Huesca;Bangladesh;14/10/03;74;Santo Tomé y Príncipe;+34984 754 488;+34 951213741;jeremiasibanez@example.com;Gárate;Baró;Teobaldo;068-22-7600;Redondo;Carrillo;Adelia;Hombre;+34878 49 24 16;angelmaximino@example.com;884-84-1258;Blanch;Cuesta;José;Hombre;34923465016;xaviervalencia@example.org;17;123456789
Carmen Fortuny Diaz;Carmen;40342378;59394326T;56456;Cuarto;B;En trámite;2024;18/6/24;3;Accusamus in quas facere.;F;Camino Eloísa Tirado 72, Huesca, 30149;25133;Jaén;Albacete;Valencia;Girona;Somalia;19/10/81;52;Mónaco;34800288725;+34 987 36 97 73;rsamper@example.com;Fortuny;Diaz;Carmen;466-54-3521;Gutiérrez;Villar;Maite;Mujer;+34844 04 73 89;icoca@example.com;179-63-6127;Ruano;Araujo;Leyre;Hombre;+34 927 213 112;valverdealexandra@example.net;56;123456789
Rodrigo Falcón Fabregat;Rodrigo;17761472;86484606Y;952876;Tercero;D;Solicitado;2024;5/5/24;1;Odit itaque officia sed magni totam maiores.;F;Paseo Guiomar Colomer 84, Almería, 38258;30077;Alicante;Córdoba;Salamanca;Cádiz;Colombia;19/10/16;74;Rumania;+34871 22 40 12;+34846 32 64 20;teodosiocalderon@example.com;Falcón;Fabregat;Rodrigo;440-43-8031;Arias;Aguado;Julio César;Mujer;+34 845 54 26 16;roldansalazar@example.com;252-28-4006;Amador;Uriarte;Manuel;Mujer;+34843 559 597;cvalera@example.com;51;123456789
Ana Belén Viñas Ríos;Ana Belén;97945618;94840417D;718541;Cuarto;A;Matriculado;2024;23/9/24;3;Eligendi non unde necessitatibus perferendis.;F;Rambla de Maxi Prada 89 Puerta 0 , Alicante, 52094;27284;Cantabria;Teruel;Ourense;La Rioja;Tayikistán;3/11/71;93;Comoras;+34 945 20 28 90;+34884 40 69 10;enriquezregina@example.net;Viñas;Ríos;Ana Belén;393-39-0764;Fábregas;Benavente;Jose Ignacio;Hombre;+34 828943688;elias49@example.com;924-01-6344;Cornejo;Téllez;Lilia;Hombre;+34 677489884;vazquezjosefa@example.com;10;123456789
Moreno Ibarra Muñoz;Moreno;8442144;46434306C;470805;Quinto;A;No matriculado;2024;27/8/24;3;Magnam rerum ipsam quia labore nulla alias.;M;Cuesta Celestino Blanca 662 Apt. 05 , Lugo, 48639;24295;Soria;Castellón;Ceuta;Granada;Malawi;26/8/80;82;Egipto;+34 828 36 41 32;+34749 53 62 77;ylloret@example.net;Ibarra;Muñoz;Moreno;865-63-7139;Zorrilla;Lago;Baltasar;Hombre;+34 980 509 806;maldonadosofia@example.net;194-46-4569;Sanz;Cañizares;Custodia;Hombre;+34944 351 371;mercedes41@example.com;71;123456789
Trini Arjona Sala;Trini;4570932;80315405A;537380;Quinto;A;Denegado;2024;12/2/24;3;Est voluptates odit harum iste.;M;C. de Modesta Acedo 88 Apt. 41 , Palencia, 19321;49703;Teruel;Cantabria;Badajoz;Cantabria;Azerbaiyán;19/8/88;61;Albania;+34 800 264 522;+34 815 24 44 09;fusterlaura@example.com;Arjona;Sala;Trini;058-24-9208;Osuna;Cortes;Angelino;Mujer;+34 806186729;vcaro@example.com;662-67-6964;Aragón;Villalba;Domingo;Hombre;+34 842672695;gibarra@example.org;94;123456789
Sebastian Calderón Vall;Sebastian;99654458;89939842K;448461;Segundo;E;Matriculado;2024;27/8/24;1;Commodi tempore error omnis perspiciatis ab esse.;M;Vial Poncio Ramirez 162 Piso 0 , La Rioja, 49903;01869;Guadalajara;Palencia;Ávila;Tarragona;Nicaragua;15/1/00;88;Letonia;+34 975 025 254;+34 887490480;lorenzoagusti@example.com;Calderón;Vall;Sebastian;883-30-2272;Capdevila;Iñiguez;Yolanda;Hombre;+34 746664972;riberarosario@example.com;422-06-7552;Bonilla;Cortina;Rufina;Mujer;+34 901 962 299;baqueroleopoldo@example.net;31;123456789
Consuela Mariscal Vila;Consuela;51615903;11060437J;607109;Cuarto;D;Denegado;2024;16/6/24;2;Quia maxime expedita laudantium.;U;Pasaje Víctor Álamo 305, Álava, 07891;32289;Álava;Huelva;Santa Cruz de Tenerife;Burgos;Japón;11/3/09;46;Kuwait;+34 965114866;34875645646;duranabril@example.org;Mariscal;Vila;Consuela;451-91-4053;Giralt;Casals;Estefanía;Hombre;+34901 963 549;luis40@example.net;344-79-0728;Soto;Gallego;Toribio;Mujer;+34806 311 956;jaumerafael@example.org;84;123456789
Prudencia Valcárcel Palmer;Prudencia;69815395;99097988G;411513;Quinto;B;Denegado;2024;31/1/24;3;Doloremque cumque aliquam veritatis nam.;F;Ronda de Carmina Nogués 7, Asturias, 25428;45461;Badajoz;Ávila;Cáceres;Huesca;Bélgica;21/3/71;29;Guyana;+34 923 271 198;+34 828445262;evera@example.com;Valcárcel;Palmer;Prudencia;754-91-3183;Navas;Falcó;Cristóbal;Hombre;+34848 61 08 75;alfonso91@example.com;649-24-7401;Verdugo;Báez;María Belén;Hombre;+34921 794 163;jose-franciscosaez@example.net;14;123456789
Mariana Estevez Cabañas;Mariana;6442528;68399968S;905911;Primero;E;Solicitado;2024;15/5/24;3;Qui iusto at rem. Provident cum vel voluptatum.;M;Plaza Pastor Tejero 51 Puerta 6 , Huesca, 35893;15116;Soria;Córdoba;Jaén;Valencia;Noruega;7/7/11;35;Palau;34682957586;+34978 686 620;jordanaboix@example.net;Estevez;Cabañas;Mariana;033-77-3005;Castañeda;Luz;Otilia;Mujer;+34972 65 96 98;redondoisabel@example.net;177-63-6696;Narváez;Torralba;Úrsula;Hombre;+34 982874682;ymesa@example.net;19;123456789
Eusebio Marqués Roura;Eusebio;79376030;65419014E;231977;Segundo;A;En trámite;2024;21/2/24;2;Odio fugiat porro fugit quasi deleniti quod.;U;Paseo de Modesta Sainz 640 Piso 6 , Navarra, 10783;24983;Las Palmas;Jaén;Córdoba;Badajoz;Ucrania;9/1/22;60;República de Macedonia del Norte;+34 972 464 850;+34846 593 641;qochoa@example.org;Marqués;Roura;Eusebio;706-03-9491;Lasa;Amigó;Adela;Hombre;34922160207;felicianaballesteros@example.com;723-60-5151;Alcántara;Bárcena;Leandro;Mujer;+34874 513 356;floracoca@example.com;22;123456789
Fulgencio Carranza Landa;Fulgencio;19912370;47223492F;407469;Cuarto;C;No matriculado;2024;29/5/24;2;Beatae aut error iste. Doloribus ea hic.;M;Pasaje de Primitivo Romero 53, Tarragona, 13626;17290;Albacete;Zamora;Zamora;Melilla;Japón;9/2/78;73;Gambia;+34 845 07 14 42;+34884 95 72 90;bmendizabal@example.com;Carranza;Landa;Fulgencio;239-63-6149;Cepeda;Somoza;Demetrio;Hombre;34971399150;maria-del-carmenllanos@example.net;859-23-9613;Briones;Cervera;Ariel;Hombre;+34900 025 496;marinojove@example.org;28;123456789
Itziar Figueras Montenegro;Itziar;36192398;64911470L;625367;Segundo;A;En trámite;2024;14/1/24;1;Deleniti expedita magni vero qui officiis.;U;Paseo Nicolasa Alberdi 20 Puerta 2 , Sevilla, 39660;15078;Vizcaya;Álava;Cantabria;Granada;Ghana;11/1/01;51;Burkina Faso;+34 946 93 49 24;+34 803 546 047;loida69@example.net;Figueras;Montenegro;Itziar;638-11-3882;Leiva;Company;Rogelio;Hombre;34841105721;collamador@example.net;236-89-0421;Benítez;Fiol;Maristela;Mujer;34721862129;amarmol@example.com;25;123456789
Hipólito Patiño Moraleda;Hipólito;93811351;09492021J;750819;Primero;E;Solicitado;2024;19/9/24;2;Cumque maxime non a officia reiciendis.;F;Rambla María Teresa Viña 50, Salamanca, 46696;33045;Málaga;Valladolid;Lleida;Lugo;Ghana;14/2/03;60;Bosnia y Herzegovina;+34 842 01 50 38;+34 923801803;alcaldemargarita@example.org;Patiño;Moraleda;Hipólito;345-51-9385;Mayo;Molins;Pepe;Hombre;+34 887690888;tormojesus@example.net;535-67-1194;Ortiz;Muro;Gabriela;Hombre;+34 875 08 84 59;zgarmendia@example.org;29;123456789
Natividad Tejedor Marí;Natividad;42837037;65538731R;846267;Cuarto;E;En trámite;2024;23/1/24;3;Nemo deleniti non cum cumque optio.;F;Paseo de Isidro Elías 8, Valladolid, 38595;35268;Pontevedra;Cádiz;Valencia;León;Belarús;13/8/88;76;Dominicana;+34 822541755;+34973 24 22 20;riveramaria-manuela@example.com;Tejedor;Marí;Natividad;660-69-5964;Villa;Vizcaíno;Pío;Mujer;+34871 55 28 27;yrios@example.com;458-34-8015;Ávila;Espinosa;Sandra;Hombre;34975080959;luzisaias@example.net;58;123456789
Álvaro Haro Tapia;Álvaro;13665160;36269968A;88517;Quinto;A;Matriculado;2024;27/3/24;2;Perspiciatis aspernatur sint accusamus.;M;Pasaje de Olivia Montero 3, Melilla, 14733;16166;Ceuta;Badajoz;Málaga;Baleares;Guinea Bissau;13/3/96;73;Lesotho;+34 727 01 58 31;34806553012;arranzanselmo@example.net;Haro;Tapia;Álvaro;366-31-3896;Alcaraz;Villegas;Cayetana;Hombre;+34 700 93 30 96;anastasia29@example.org;719-04-1892;Farré;Barón;Itziar;Mujer;34877923690;lluchroxana@example.com;17;123456789
Eliseo Mena Arribas;Eliseo;42452802;17530271Q;845902;Cuarto;C;No matriculado;2024;17/9/24;2;Labore nemo pariatur cum. Magni cum nobis veniam.;M;Pasadizo de Pastora Teruel 74, Melilla, 23112;43347;Girona;Santa Cruz de Tenerife;Alicante;Ourense;Afganistán;4/12/72;39;Malawi;+34 928685021;+34 948 232 212;melendezjonatan@example.net;Mena;Arribas;Eliseo;949-02-9993;Barberá;Rueda;José;Hombre;+34 825 717 195;carrascoantonia@example.net;883-73-9356;Quirós;Garay;Noé;Mujer;+34 877 69 51 09;ernesto65@example.net;4;123456789
Federico Agudo Peñas;Federico;82590203;60260682S;718482;Cuarto;D;En trámite;2024;19/3/24;1;Soluta recusandae placeat nemo occaecati in.;M;Rambla Elena Requena 64, Tarragona, 22802;41501;Cuenca;Jaén;Córdoba;Jaén;Guinea Bissau;11/11/93;13;Djibouti;+34 803 93 32 83;+34 972 97 88 72;pepitasebastian@example.net;Agudo;Peñas;Federico;908-28-7581;Ordóñez;Velázquez;Eligia;Hombre;+34830 531 225;maxi61@example.org;412-16-0763;Pujol;Mur;Borja;Hombre;34872248517;ccosta@example.com;4;123456789
Azahara Lastra Paz;Azahara;25200789;28284804W;755832;Quinto;A;En trámite;2024;7/7/24;2;Iusto eligendi quia modi quae.;M;Glorieta Teófilo Borrás 2, Huesca, 44360;23657;Guadalajara;Cantabria;Córdoba;Castellón;Mozambique;4/11/93;36;Dominicana;+34 879 062 383;34706694504;yustecandelas@example.com;Lastra;Paz;Azahara;252-81-7859;Solana;Palacios;Marcela;Hombre;+34 822112908;benigna73@example.net;124-29-3261;Prada;Paredes;Hernán;Mujer;+34860 997 787;jose-ignacio66@example.net;44;123456789
Calista Lara Olmo;Calista;65968956;93769721D;988954;Primero;E;Matriculado;2024;29/8/24;2;Ipsum ad molestias accusantium.;M;Vial Lupe Farré 8, Madrid, 24694;50316;Salamanca;Albacete;Guadalajara;Zamora;Países Bajos;28/2/05;50;Swazilandia;+34 961 813 071;+34 882843583;llabresleonor@example.com;Lara;Olmo;Calista;709-17-2884;Barral;Angulo;Paulina;Hombre;34921908330;walter41@example.net;967-43-5795;Priego;Vives;María;Mujer;+34 812 15 01 34;aureliano36@example.net;22;123456789
Violeta Montes Cid;Violeta;73362908;86204920T;520710;Tercero;B;En trámite;2024;26/6/24;3;Quod eius ex enim nulla dolores suscipit animi.;F;Cañada Jose Luis Palmer 90, Badajoz, 23366;15290;La Rioja;Murcia;Palencia;Albacete;Togo;2/6/15;57;Palau;+34935 10 46 40;+34 885 827 821;jessicaquiros@example.org;Montes;Cid;Violeta;021-54-4485;Manso;Zurita;Haydée;Hombre;+34872 827 908;pcanton@example.net;760-41-9940;Mesa;Torrents;Baudelio;Hombre;+34876 494 155;manuelita88@example.net;55;123456789
Tecla Pazos Azorin;Tecla;49864240;96206560K;43625;Segundo;B;Solicitado;2024;20/6/24;2;Aliquam possimus voluptas vel eaque.;U;Rambla Estefanía Ferrera 76 Puerta 4 , Cuenca, 06592;38408;Teruel;Tarragona;Santa Cruz de Tenerife;Teruel;Sudán;21/12/06;57;Rumania;+34800 332 501;+34820 636 017;polandres-felipe@example.com;Pazos;Azorin;Tecla;593-67-9736;Velázquez;Cal;Mayte;Hombre;+34 981 797 301;concepcion77@example.com;252-46-2506;Martí;Camacho;Dolores;Mujer;+34 842461767;nogueranilda@example.net;36;123456789
Eli Arias Sosa;Eli;6386773;56656920P;930998;Segundo;B;Solicitado;2024;23/6/24;1;Laudantium nulla veritatis natus assumenda ipsum.;U;Paseo Chuy Fernández 87, Cádiz, 49111;28525;La Rioja;Málaga;Sevilla;Ceuta;Luxemburgo;15/6/11;99;Qatar;+34948 44 40 20;+34 828 877 732;palmira59@example.com;Arias;Sosa;Eli;221-42-7345;Cerro;Córdoba;Anselma;Mujer;+34 736541499;fdiaz@example.org;965-12-5951;Linares;Ayuso;Pastora;Hombre;+34 880 40 83 73;nsaenz@example.org;3;123456789
Azeneth Palacio Crespi;Azeneth;97090771;64075405G;503120;Cuarto;B;No matriculado;2024;7/9/24;3;Perferendis labore ullam cum sapiente est.;F;Alameda Gabriela Calderon 12 Puerta 1 , Castellón, 01424;47913;Valencia;Alicante;Ávila;Cádiz;Chipre;30/11/05;53;Brunei Darussalam;+34975 19 11 89;+34863 856 222;quiqueangulo@example.com;Palacio;Crespi;Azeneth;675-16-5415;Mena;Yáñez;Toño;Mujer;+34 841 81 63 31;luisacabrero@example.com;721-64-7454;Grau;Manzanares;Eligia;Hombre;+34 872 48 09 39;zmerino@example.net;1;123456789
Delia Pinedo Castillo;Delia;16371319;85310423L;251416;Quinto;C;En trámite;2024;13/7/24;1;Ratione exercitationem facilis voluptates.;U;Avenida de Carla Donaire 52 Puerta 7 , Lugo, 14676;37123;Huelva;Cuenca;Castellón;Palencia;Zimbabwe;6/3/07;4;Bulgaria;+34982 384 361;+34 941 52 09 45;amayabatalla@example.net;Pinedo;Castillo;Delia;740-39-5762;Sáenz;Saez;Mario;Mujer;+34 925631517;amandotellez@example.org;797-79-3339;Villalobos;Naranjo;Julie;Hombre;+34948 701 234;jimena70@example.org;12;123456789
Carlos Valls Samper;Carlos;62940482;75840878B;145280;Segundo;B;Matriculado;2024;25/9/24;3;Explicabo qui officiis.;M;Avenida de Aitana Ferreras 243, Baleares, 14059;26641;Sevilla;León;Granada;Pontevedra;Tonga;13/3/73;23;España;+34 881 623 728;+34947 97 81 26;macarena68@example.com;Valls;Samper;Carlos;983-98-8029;Abascal;Castells;Natividad;Mujer;+34 841 81 41 71;cmerino@example.net;747-53-3253;Noriega;Bru;Néstor;Mujer;+34 845418495;irenemendez@example.net;82;123456789
Carolina Palma Vilalta;Carolina;50292832;19456666T;186336;Cuarto;D;En trámite;2024;24/3/24;3;Optio quia in suscipit libero.;U;Pasaje de Angélica Novoa 45, Barcelona, 40940;22982;Melilla;Granada;Zamora;Castellón;Guinea;5/10/90;11;Granada;+34 822 81 46 98;+34941 37 71 00;rolandomaldonado@example.org;Palma;Vilalta;Carolina;941-96-2852;Vicente;Carro;Goyo;Mujer;+34 922 34 92 86;jesparza@example.org;791-61-8494;Planas;Bernat;Ángel;Hombre;34982663923;amadorcorominas@example.com;9;123456789
Saturnina Acosta Busquets;Saturnina;39712664;84073348E;227910;Tercero;B;Matriculado;2024;7/9/24;2;Fugiat laborum totam qui esse unde.;M;Alameda Jovita Quintana 78 Piso 6 , Cádiz, 32141;38363;Cádiz;Castellón;Zamora;Córdoba;Países Bajos;10/5/95;48;Hungría;+34 958 487 596;+34 971 38 95 45;monrealnestor@example.org;Acosta;Busquets;Saturnina;254-50-3967;Albero;Barranco;Herminia;Mujer;+34 947 106 417;lupitajulia@example.net;088-48-7011;Vázquez;Alberola;Jennifer;Hombre;+34 900 85 00 12;sacristaneugenia@example.org;30;123456789
Noé Baró Sala;Noé;87138336;78829919H;529420;Cuarto;D;En trámite;2024;29/5/24;1;Aperiam in accusantium sunt et.;M;Vial Tamara Ribera 55, Salamanca, 20242;20742;Toledo;Almería;Zaragoza;Lleida;Bahrein;2/12/91;79;Federación de Rusia;+34 843 71 05 52;34979049492;taniagallart@example.net;Baró;Sala;Noé;296-70-3578;Dalmau;Real;Modesto;Hombre;+34 985 523 210;ortunogabriel@example.net;041-56-2851;Acero;Miguel;Liliana;Hombre;+34 972074147;vgil@example.net;72;123456789
Graciela Marquez Cordero;Graciela;73840241;11127888M;736494;Primero;C;No matriculado;2024;17/2/24;3;Voluptatum sint ducimus ducimus doloribus ex.;F;Callejón de Noemí Larrañaga 91, Albacete, 05743;22552;Cuenca;Teruel;Lugo;Sevilla;Yemen;27/7/79;45;Ghana;+34 979 284 005;+34 833 149 649;arturomaldonado@example.org;Marquez;Cordero;Graciela;923-60-1021;Priego;Arco;Fermín;Mujer;+34 979 83 73 66;bernabesilva@example.org;165-50-8141;Calderon;Contreras;Jose Ramón;Mujer;+34931 72 17 21;jennifer92@example.com;99;123456789
Luciano Anaya Peral;Luciano;65032497;20519937G;514036;Tercero;B;Matriculado;2024;3/1/24;3;Id nemo libero provident voluptates.;U;Plaza de Quirino Céspedes 3 Apt. 55 , Málaga, 32283;09671;Pontevedra;Burgos;Salamanca;Cádiz;Ecuador;19/4/83;83;Sierra Leona;34718032890;+34887 172 362;castillamaria-jesus@example.net;Anaya;Peral;Luciano;642-44-2626;Echeverría;Cabañas;Camila;Hombre;+34 800717608;alma31@example.org;668-95-9008;Mateu;Blanch;Jose Manuel;Mujer;+34844 04 16 55;vvillalba@example.com;62;123456789
Dalila Polo Mata;Dalila;31463060;38299396A;351924;Quinto;A;Denegado;2024;28/5/24;3;Adipisci soluta magni.;F;Rambla Adriana Torrijos 9, Córdoba, 23399;25410;Granada;Girona;Segovia;Guadalajara;Alemania;21/2/76;80;Mauricio;+34 843619333;+34 901 92 61 15;laura68@example.com;Polo;Mata;Dalila;605-13-5529;Muro;Montesinos;Elena;Hombre;+34 945184384;ulisesamor@example.com;413-06-6358;Villaverde;Padilla;Bernarda;Hombre;+34 846 031 787;lucio17@example.org;62;123456789
Bautista Porcel Nadal;Bautista;63034945;01469121L;797845;Tercero;D;Denegado;2024;16/4/24;2;Unde eos voluptatem quasi quos illum.;M;Alameda de Berto Alvarez 3, Ceuta, 09239;46492;Soria;Salamanca;Ciudad;Murcia;Ecuador;26/2/80;65;Japón;+34983 76 16 99;+34978 82 82 66;lmendizabal@example.org;Porcel;Nadal;Bautista;527-67-7550;Juan;Berrocal;Maricela;Mujer;+34876 01 64 69;albaalmudena@example.org;536-40-7426;Olivé;Barrio;Santiago;Mujer;34920549974;tenoriohilario@example.com;56;123456789
Maxi Peral Montaña;Maxi;15917877;82102266V;540765;Quinto;B;Denegado;2024;27/5/24;2;Repudiandae modi fugit sint recusandae.;F;Via de Nayara Pardo 616 Piso 0 , Ciudad, 27693;25768;Burgos;Las Palmas;Barcelona;Valladolid;Finlandia;7/7/15;91;Fiji;+34 920 437 093;34971044642;bbellido@example.com;Peral;Montaña;Maxi;225-76-3469;Arce;Guillén;Alma;Hombre;34872857498;julialastra@example.net;931-20-6838;Flor;Almeida;Cruz;Mujer;+34925 156 312;farroyo@example.net;35;123456789
